com.victronenergy.motordrive.demo6_legacy_sevcon
/Mgmt/ProcessName	STRING	/data/dbus-motordrive-simulator/ext/velib_python/dbusdummyservice.py	/data/dbus-motordrive-simulator/ext/velib_python/dbusdummyservice.py
/Mgmt/ProcessVersion	STRING	Unkown version, and running on Python 3.8.18	Unkown version, and running on Python 3.8.18
/Mgmt/Connection	STRING	Simulation	Simulation
/DeviceInstance	INT32	0	0
/ProductId	INT32	41865	0xA389
/ProductName	STRING	Motordrive Simulation: demo6_legacy_sevcon	Motordrive Simulation: demo6_legacy_sevcon
/FirmwareVersion	INT32	0	0
/HardwareVersion	INT32	0	0
/Connected	INT32	1	1
/Dc/0/Voltage	DOUBLE	48.38	48.38
/Dc/0/Current	DOUBLE	29.07	29.07
/Dc/0/Power	DOUBLE	1406.4066	1406.4066
/Controller/Temperature	DOUBLE	32.2	32.2
/Motor/Temperature	DOUBLE	29.86	29.86
/Motor/RPM	INT32	208	208

1	/Dc/0/Voltage	DOUBLE	47.83	47.83
1	/Dc/0/Current	DOUBLE	38.57	38.57
1	/Dc/0/Power	DOUBLE	1844.8030999999999	1844.8030999999999
1	/Motor/RPM	INT32	392	392
1	/Motor/Temperature	DOUBLE	30.43	30.43
1	/Controller/Temperature	DOUBLE	33.39	33.39
2	/Dc/0/Voltage	DOUBLE	48.33	48.33
2	/Dc/0/Current	DOUBLE	51.16	51.16
2	/Dc/0/Power	DOUBLE	2472.5627999999997	2472.5627999999997
2	/Motor/RPM	INT32	603	603
2	/Motor/Temperature	DOUBLE	31.59	31.59
2	/Controller/Temperature	DOUBLE	35.47	35.47
3	/Dc/0/Voltage	DOUBLE	47.7	47.7
3	/Dc/0/Current	DOUBLE	61.41	61.41
3	/Dc/0/Power	DOUBLE	2929.257	2929.257
3	/Motor/RPM	INT32	803	803
3	/Motor/Temperature	DOUBLE	32.91	32.91
3	/Controller/Temperature	DOUBLE	36.37	36.37
4	/Dc/0/Voltage	DOUBLE	48.38	48.38
4	/Dc/0/Current	DOUBLE	67.83	67.83
4	/Dc/0/Power	DOUBLE	3281.6154	3281.6154
4	/Motor/RPM	INT32	951	951
4	/Motor/Temperature	DOUBLE	33.23	33.23
4	/Controller/Temperature	DOUBLE	37.22	37.22
5	/Dc/0/Voltage	DOUBLE	47.47	47.47
5	/Dc/0/Current	DOUBLE	78.24	78.24
5	/Dc/0/Power	DOUBLE	3714.0527999999995	3714.0527999999995
5	/Motor/RPM	INT32	1141	1141
5	/Motor/Temperature	DOUBLE	33.62	33.62
5	/Controller/Temperature	DOUBLE	38.58	38.58
6	/Dc/0/Voltage	DOUBLE	48.62	48.62
6	/Dc/0/Current	DOUBLE	85.35	85.35
6	/Dc/0/Power	DOUBLE	4149.717	4149.717
6	/Motor/RPM	INT32	1295	1295
6	/Motor/Temperature	DOUBLE	34.33	34.33
6	/Controller/Temperature	DOUBLE	39.66	39.66
7	/Dc/0/Voltage	DOUBLE	47.42	47.42
7	/Dc/0/Current	DOUBLE	95.23	95.23
7	/Dc/0/Power	DOUBLE	4515.806600000001	4515.806600000001
7	/Motor/RPM	INT32	1467	1467
7	/Motor/Temperature	DOUBLE	34.68	34.68
7	/Controller/Temperature	DOUBLE	39.82	39.82
8	/Dc/0/Voltage	DOUBLE	48.59	48.59
8	/Dc/0/Current	DOUBLE	100.7	100.7
8	/Dc/0/Power	DOUBLE	4893.013000000001	4893.013000000001
8	/Motor/RPM	INT32	1628	1628
8	/Motor/Temperature	DOUBLE	35.57	35.57
8	/Controller/Temperature	DOUBLE	40.72	40.72
9	/Dc/0/Voltage	DOUBLE	47.44	47.44
9	/Dc/0/Current	DOUBLE	109.53	109.53
9	/Dc/0/Power	DOUBLE	5196.1032	5196.1032
9	/Motor/RPM	INT32	1797	1797
9	/Motor/Temperature	DOUBLE	35.18	35.18
9	/Controller/Temperature	DOUBLE	42.07	42.07
10	/Dc/0/Voltage	DOUBLE	48.48	48.48
10	/Dc/0/Current	DOUBLE	109.43	109.43
10	/Dc/0/Power	DOUBLE	5305.1664	5305.1664
10	/Motor/RPM	INT32	1789	1789
10	/Motor/Temperature	DOUBLE	35.32	35.32
10	/Controller/Temperature	DOUBLE	42.15	42.15
11	/Dc/0/Voltage	DOUBLE	47.55	47.55
11	/Dc/0/Current	DOUBLE	111.65	111.65
11	/Dc/0/Power	DOUBLE	5308.9574999999995	5308.9574999999995
11	/Motor/RPM	INT32	1799	1799
11	/Motor/Temperature	DOUBLE	35.45	35.45
11	/Controller/Temperature	DOUBLE	43.06	43.06
12	/Dc/0/Voltage	DOUBLE	48.58	48.58
12	/Dc/0/Current	DOUBLE	109.16	109.16
12	/Dc/0/Power	DOUBLE	5302.9928	5302.9928
12	/Motor/RPM	INT32	1800	1800
12	/Motor/Temperature	DOUBLE	35.65	35.65
12	/Controller/Temperature	DOUBLE	42.65	42.65
13	/Dc/0/Voltage	DOUBLE	47.7	47.7
13	/Dc/0/Current	DOUBLE	107.97	107.97
13	/Dc/0/Power	DOUBLE	5150.169	5150.169
13	/Motor/RPM	INT32	1803	1803
13	/Motor/Temperature	DOUBLE	35.75	35.75
13	/Controller/Temperature	DOUBLE	43.22	43.22
14	/Dc/0/Voltage	DOUBLE	48.45	48.45
14	/Dc/0/Current	DOUBLE	95.39	95.39
14	/Dc/0/Power	DOUBLE	4621.6455000000005	4621.6455000000005
14	/Motor/RPM	INT32	1480	1480
14	/Motor/Temperature	DOUBLE	35.65	35.65
14	/Controller/Temperature	DOUBLE	44.1	44.1
15	/Dc/0/Voltage	DOUBLE	47.79	47.79
15	/Dc/0/Current	DOUBLE	74.72	74.72
15	/Dc/0/Power	DOUBLE	3570.8687999999997	3570.8687999999997
15	/Motor/RPM	INT32	1133	1133
15	/Motor/Temperature	DOUBLE	36.01	36.01
15	/Controller/Temperature	DOUBLE	44.33	44.33
16	/Dc/0/Voltage	DOUBLE	48.28	48.28
16	/Dc/0/Current	DOUBLE	38.07	38.07
16	/Dc/0/Power	DOUBLE	1838.0196	1838.0196
16	/Motor/RPM	INT32	-380	-380
16	/Motor/Temperature	DOUBLE	35.53	35.53
16	/Controller/Temperature	DOUBLE	44.03	44.03
17	/Dc/0/Voltage	DOUBLE	47.75	47.75
17	/Dc/0/Current	DOUBLE	18.83	18.83
17	/Dc/0/Power	DOUBLE	899.1324999999999	899.1324999999999
17	/Motor/RPM	INT32	13	13
17	/Motor/Temperature	DOUBLE	35.44	35.44
17	/Controller/Temperature	DOUBLE	43.94	43.94
18	/Dc/0/Voltage	DOUBLE	48.03	48.03
18	/Dc/0/Current	DOUBLE	18.98	18.98
18	/Dc/0/Power	DOUBLE	911.6094	911.6094
18	/Motor/RPM	INT32	-12	-12
18	/Motor/Temperature	DOUBLE	25.34	25.34
18	/Controller/Temperature	DOUBLE	25.22	25.22
19	/Dc/0/Voltage	DOUBLE	48.11	48.11
19	/Dc/0/Current	DOUBLE	18.81	18.81
19	/Dc/0/Power	DOUBLE	904.9490999999999	904.9490999999999
19	/Motor/RPM	INT32	-19	-19
19	/Motor/Temperature	DOUBLE	26.32	26.32
19	/Controller/Temperature	DOUBLE	27.99	27.99
20	/Dc/0/Voltage	DOUBLE	47.85	47.85
20	/Dc/0/Current	DOUBLE	20.59	20.59
20	/Dc/0/Power	DOUBLE	985.2315	985.2315
20	/Motor/RPM	INT32	11	11
20	/Motor/Temperature	DOUBLE	27.92	27.92
20	/Controller/Temperature	DOUBLE	30.62	30.62
21	/Dc/0/Voltage	DOUBLE	48.1	48.1
21	/Dc/0/Current	DOUBLE	28.61	28.61
21	/Dc/0/Power	DOUBLE	1376.141	1376.141
21	/Motor/RPM	INT32	193	193
21	/Motor/Temperature	DOUBLE	29.22	29.22
21	/Controller/Temperature	DOUBLE	32.43	32.43
22	/Dc/0/Voltage	DOUBLE	47.67	47.67
22	/Dc/0/Current	DOUBLE	40.8	40.8
22	/Dc/0/Power	DOUBLE	1944.936	1944.936
22	/Motor/RPM	INT32	418	418
22	/Motor/Temperature	DOUBLE	31.06	31.06
22	/Controller/Temperature	DOUBLE	33.51	33.51
23	/Dc/0/Voltage	DOUBLE	48.42	48.42
23	/Dc/0/Current	DOUBLE	50.52	50.52
23	/Dc/0/Power	DOUBLE	2446.1784000000002	2446.1784000000002
23	/Motor/RPM	INT32	601	601
23	/Motor/Temperature	DOUBLE	31.27	31.27
23	/Controller/Temperature	DOUBLE	35.23	35.23
24	/Dc/0/Voltage	DOUBLE	47.5	47.5
24	/Dc/0/Current	DOUBLE	60.21	60.21
24	/Dc/0/Power	DOUBLE	2859.975	2859.975
24	/Motor/RPM	INT32	809	809
24	/Motor/Temperature	DOUBLE	32.72	32.72
24	/Controller/Temperature	DOUBLE	36.25	36.25
25	/Dc/0/Voltage	DOUBLE	48.49	48.49
25	/Dc/0/Current	DOUBLE	67.15	67.15
25	/Dc/0/Power	DOUBLE	3256.1035000000006	3256.1035000000006
25	/Motor/RPM	INT32	950	950
25	/Motor/Temperature	DOUBLE	33.39	33.39
25	/Controller/Temperature	DOUBLE	37.17	37.17
26	/Dc/0/Voltage	DOUBLE	47.68	47.68
26	/Dc/0/Current	DOUBLE	76.65	76.65
26	/Dc/0/Power	DOUBLE	3654.672	3654.672
26	/Motor/RPM	INT32	1134	1134
26	/Motor/Temperature	DOUBLE	33.47	33.47
26	/Controller/Temperature	DOUBLE	38.19	38.19
27	/Dc/0/Voltage	DOUBLE	48.41	48.41
27	/Dc/0/Current	DOUBLE	86.17	86.17
27	/Dc/0/Power	DOUBLE	4171.4897	4171.4897
27	/Motor/RPM	INT32	1294	1294
27	/Motor/Temperature	DOUBLE	34.95	34.95
27	/Controller/Temperature	DOUBLE	39.22	39.22
28	/Dc/0/Voltage	DOUBLE	47.64	47.64
28	/Dc/0/Current	DOUBLE	93.94	93.94
28	/Dc/0/Power	DOUBLE	4475.3016	4475.3016
